Filename,Subject,Start Date,Start Time,End date,End Time,All Day Event
lecture01.md,Lecture 1: Introduction to Entomology,08/17/2017,11:00:00 AM,08/17/2017,12:20:00 PM,FALSE
lab01.md,Lab 1: Intro to insect collecting - tools of the trade,08/21/2017,12:30:00 PM,08/21/2017,03:20:00 PM,FALSE
lecture02.md,Lecture 2: Insect Biodiversity and Taxonomy,08/22/2017,11:00:00 AM,08/22/2017,12:20:00 PM,FALSE
lecture03.md,Lecture 3: Insect Biodiversity in Micronesia,08/24/2017,11:00:00 AM,08/24/2017,12:20:00 PM,FALSE
lab02.md,Lab 2: Special techniques -spreading moths and butterflies - pointing small insects,08/28/2017,12:30:00 PM,08/28/2017,03:20:00 PM,FALSE
lecture04.md,Lecture 4: Invasion of the Land,08/29/2017,11:00:00 AM,08/29/2017,12:20:00 PM,FALSE
lecture05.md,Lecture 5: External Insect Morphology,08/31/2017,11:00:00 AM,08/31/2017,12:20:00 PM,FALSE
,HOLIDAY: Labor Day,09/04/2017,00:00,09/05/2017,12:00:00 AM,TRUE
lecture06.md,Lecture 6: Internal insect Morphology,09/05/2017,11:00:00 AM,09/05/2017,12:20:00 PM,FALSE
lecture07.md,Lecture 7: Metamorphosis,09/07/2017,11:00:00 AM,09/07/2017,12:20:00 PM,FALSE
lab03.md,Lab 3: Insect Photography,09/11/2017,12:30:00 PM,09/11/2017,03:20:00 PM,FALSE
lecture08.md,Lecture 8: Insect Orders with Complete Metamorphosis,09/12/2017,11:00:00 AM,09/12/2017,12:20:00 PM,FALSE
lecture09.md,Lecture 9: Guest Lecture (Roland Quitugua): Coconut Rhinoceros Beetle,09/14/2017,11:00:00 AM,09/14/2017,12:20:00 PM,FALSE
lab04.md,Lab 4: Independent work on collection,09/18/2017,12:30:00 PM,09/18/2017,03:20:00 PM,FALSE
lecture10.md,Lecture 10:  Guest Lecture(Jesse Bamba): Insect Pests of Agriculture on Guam,09/19/2017,11:00:00 AM,09/19/2017,12:20:00 PM,FALSE
lecture11.md,Lecture 11:  Insect Orders with Incomplete Metamorphosis I,09/21/2017,11:00:00 AM,09/21/2017,12:20:00 PM,FALSE
lab05.md,Lab 5: Independent work on collection,09/25/2017,12:30:00 PM,09/25/2017,03:20:00 PM,FALSE
lecture12.md,Lecture  12: Insect Orders with Incomplete Metamorphosis II - Review for Exam 1,09/26/2017,11:00:00 AM,09/26/2017,12:20:00 PM,FALSE
,Exam 1,09/28/2017,11:00:00 AM,09/28/2017,12:20:00 PM,FALSE
lab06.md,Lab 6: Independent work on collection,10/02/2017,12:30:00 PM,10/02/2017,03:20:00 PM,FALSE
